Nombre,Población,Superficie
Ciudad Autónoma de Buenos Aires,3075646,203.0
La Plata,789019,940.0
Mar del Plata,593337,79.5
Córdoba Capital,1391000,576.0
Villa Carlos Paz,84753,26.5
Río Cuarto,167017,64.3
Santiago,5743719,641.4
Valparaíso,296655,401.6
Concepción,223574,221.6
Ciudad de México,9209944,1485.0
Coyoacán,620416,54.1
Iztapalapa,1820888,117.0
Guadalajara,1495182,151.0
Zapopan,1360000,295.0
Tlaquepaque,650123,270.9
New York City,8467513,783.8
Buffalo,278349,136.0
Rochester,211328,92.0
Los Angeles,3898747,1302.0
Santa Monica,90815,21.8
Long Beach,456062,170.6
Madrid,3223334,604.3
Alcalá de Henares,195649,87.7
Móstoles,208761,45.0
Barcelona,1650700,101.9
Hospitalet de Llobregat,271068,12.4
Badalona,224156,21.2
París,2161000,105.4
Versalles,85716,26.0
Boulogne-Billancourt,121334,6.2
Lyon,522228,47.9
Villeurbanne,155091,14.5
Vénissieux,66710,15.3

